operation,classification,evidence,action
POST /api/ai/proxy/field-mapping/suggestions,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/ai/proxy/field-mapping/validate,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/ai/proxy/mapping/apply-suggestions,documented elsewhere,docs/superpowers/plans/2026-07-21-f2-ai-proxy-postures.md,retain baseline until represented in openapi.full.yaml
POST /api/ai/proxy/mapping/defaultvalue/suggest,documented elsewhere,docs/tutorials/advanced-field-mapping-editor-ai-features.md; docs/superpowers/plans/2026-07-21-f2-ai-proxy-postures.md,retain baseline until represented in openapi.full.yaml
POST /api/ai/proxy/mapping/detect-unmappable-fields,documented elsewhere,docs/superpowers/plans/2026-07-21-f2-ai-proxy-postures.md,retain baseline until represented in openapi.full.yaml
POST /api/ai/proxy/mapping/feedback,documented elsewhere,docs/superpowers/plans/2026-07-21-f2-ai-proxy-postures.md,retain baseline until represented in openapi.full.yaml
POST /api/ai/proxy/mapping/generate-custom-field-proposal,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/ai/proxy/mapping/suggestions,documented elsewhere,docs/developer/DEVELOPER_GUIDE.md; docs/governance/AI-GOVERNANCE-COMPLETE-GUIDE.md; docs/governance/GOVERNANCE-QUICK-REFERENCE.md,retain baseline until represented in openapi.full.yaml
POST /api/ai/proxy/mapping/transformation/suggest,documented elsewhere,docs/tutorials/advanced-field-mapping-editor-ai-features.md; docs/superpowers/plans/2026-07-21-f2-ai-proxy-postures.md,retain baseline until represented in openapi.full.yaml
POST /api/ai/proxy/mapping/transformation/validate,documented elsewhere,docs/tutorials/advanced-field-mapping-editor-ai-features.md,retain baseline until represented in openapi.full.yaml
POST /api/ai/proxy/mapping/validate,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/ai/proxy/mapping/validation/suggest,documented elsewhere,docs/tutorials/advanced-field-mapping-editor-ai-features.md; docs/superpowers/plans/2026-07-21-f2-ai-proxy-postures.md,retain baseline until represented in openapi.full.yaml
POST /api/ai/proxy/mcp,documented elsewhere,docs/CHANGELOG.md; docs/MCP-USER-SETTINGS-GUIDE.md; docs/SQUIRE-V2-MEDIA-DEMO-PLAN.md,retain baseline until represented in openapi.full.yaml
POST /api/ai/proxy/models/{provider}/select,documented elsewhere,docs/api/API.md; docs/api/USAGE.md; docs/superpowers/plans/2026-07-21-f2-ai-proxy-postures.md,retain baseline until represented in openapi.full.yaml
POST /api/ai/proxy/natural-language/configure,documented elsewhere,docs/architecture/AI-SYSTEMS-COMPARISON.md,retain baseline until represented in openapi.full.yaml
POST /api/ai/proxy/natural-language/troubleshoot,documented elsewhere,docs/architecture/AI-SYSTEMS-COMPARISON.md; docs/tutorials/22-rag-knowledge-base-guide.md,retain baseline until represented in openapi.full.yaml
POST /api/ai/proxy/nlq,documented elsewhere,docs/guides/SUITECENTRAL-PARITY-GUIDE.md; docs/tutorials/24-ai-nlq-cross-module.md; docs/superpowers/plans/2026-07-21-f2-ai-proxy-postures.md,retain baseline until represented in openapi.full.yaml
POST /api/ai/proxy/orchestrate,documented elsewhere,docs/api/API.md; docs/developer/DEVELOPER_GUIDE.md; docs/governance/AI-GOVERNANCE-COMPLETE-GUIDE.md,retain baseline until represented in openapi.full.yaml
POST /api/ai/proxy/predictive-connectors/analyze-ecosystem,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/ai/proxy/predictive-connectors/optimize-pathway,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/ai/proxy/predictive-connectors/predict-next,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/ai/proxy/predictive-connectors/recommendations,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/ai/proxy/provider-config/test,documented elsewhere,docs/superpowers/plans/2026-07-21-f2-ai-proxy-postures.md,retain baseline until represented in openapi.full.yaml
POST /api/ai/proxy/providers/{providerid}/test,documented elsewhere,docs/architecture/PRODUCTION-VS-DEMO-GUIDE.md; docs/developer/troubleshooting.md; docs/evaluation/AI-SYSTEM-EVALUATION-GUIDE.md,retain baseline until represented in openapi.full.yaml
POST /api/ai/proxy/quality/assess,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/ai/proxy/roi/calculate,documented elsewhere,docs/api/AI-AGENTS-API-REFERENCE.md,retain baseline until represented in openapi.full.yaml
POST /api/ai/proxy/suggestions/{suggestionid}/accept,documented elsewhere,docs/superpowers/plans/2026-07-09-squire-install-and-use-guide.md; docs/superpowers/plans/2026-07-10-ai-field-mapping-erp-restyle.md; docs/superpowers/plans/2026-07-11-fm-legacy-ai-retirement.md,retain baseline until represented in openapi.full.yaml
POST /api/ai/proxy/suppliers/{id}/recalculate,documented elsewhere,docs/superpowers/plans/2026-07-30-f6-subproject-b-pr2.md,retain baseline until represented in openapi.full.yaml
POST /api/automation-libraries/installer/execute,documented elsewhere,docs/superpowers/plans/2026-07-30-f6-subproject-b-pr2.md,retain baseline until represented in openapi.full.yaml
POST /api/automation-libraries/payout/execute,documented elsewhere,docs/superpowers/plans/2026-07-30-f6-subproject-b-pr2.md,retain baseline until represented in openapi.full.yaml
POST /api/automation-libraries/quality/execute,documented elsewhere,docs/superpowers/plans/2026-07-30-f6-subproject-b-pr2.md,retain baseline until represented in openapi.full.yaml
POST /api/baselines/initialize,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/milestones/gemini-enhancements-complete.md,retain baseline until represented in openapi.full.yaml
POST /api/compliance/export,documented elsewhere,docs/CHANGELOG.md; docs/SQUIRE-V2-MEDIA-DEMO-PLAN.md; docs/SUITECENTRAL-ENHANCEMENT-RECOMMENDATIONS.md,retain baseline until represented in openapi.full.yaml
POST /api/configurations/import,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/configurations/{id}/duplicate,documented elsewhere,docs/CHANGELOG.md; docs/SESSION-HANDOFF-2026-08-09.md; docs/connectors/CONNECTOR_STATUS.md,retain baseline until represented in openapi.full.yaml
POST /api/connector-credentials,documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/architecture/ARCHITECTURE.md; docs/operations/DEPLOYMENT-GUIDE.md,retain baseline until represented in openapi.full.yaml
POST /api/connector-credentials/{connectorid}/{environment}/test,documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/architecture/ARCHITECTURE.md; docs/operations/DEPLOYMENT-GUIDE.md,retain baseline until represented in openapi.full.yaml
POST /api/contract-central/actions/{id}/complete,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/contract-central/contracts,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/contract-central/contracts/{id}/actions,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/contract-central/contracts/{id}/approvals/{approvalid},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/contract-central/contracts/{id}/renew,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/contract-central/contracts/{id}/request-approval,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/contract-central/contracts/{id}/sign,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/contract-central/contracts/{id}/submit-review,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/contract-central/contracts/{id}/terminate,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/customer-central/customers,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/customer-central/customers/{id}/health-score,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/customer-central/customers/{id}/nps,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/customer-central/customers/{id}/orders,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/customer-central/customers/{id}/tickets,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/customer-central/tickets/{id}/resolve,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/dashboard/api/seed-mock,documented elsewhere,docs/operations/DOCKER-PARITY.md,retain baseline until represented in openapi.full.yaml
POST /api/dashboard/mappings/templates,documented elsewhere,docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md; docs/review/route-tenant-coverage.md; docs/tutorials/ADMIN-TEMPLATES.md,retain baseline until represented in openapi.full.yaml
POST /api/dashboard/mappings/templates/import,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/dashboard/templates,documented elsewhere,docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md; docs/review/route-tenant-coverage.md; docs/superpowers/plans/2026-07-18-f0-route-policy-schema.md,retain baseline until represented in openapi.full.yaml
POST /api/dashboard/templates/export,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/dashboard/templates/import,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/dashboard/templates/migrate,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/dashboard/templates/search,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/dashboard/templates/{key}/clone,documented elsewhere,docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md; docs/review/route-tenant-coverage.md; docs/superpowers/plans/2026-07-18-f0-route-policy-schema.md,retain baseline until represented in openapi.full.yaml
POST /api/data-migration/plans,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/data-migration/plans/{planid}/pause,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/data-migration/plans/{planid}/resume,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/data-migration/plans/{planid}/start,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/data-migration/plans/{planid}/stop,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/disaster-recovery/backups,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/disaster-recovery/restore,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/documents/upload,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
POST /api/embedded/context,documented elsewhere,docs/architecture/embedded-erp-surface-contract.md; docs/plans/2026-05-01-a-grade-remediation-plan-merged.md; docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md,retain baseline until represented in openapi.full.yaml
POST /api/embedded/host-bootstrap,documented elsewhere,docs/SESSION-HANDOFF-2026-09-01.md; docs/architecture/embedded-erp-surface-contract.md; docs/plans/2026-05-01-a-grade-remediation-plan-merged.md,retain baseline until represented in openapi.full.yaml
POST /api/embedded/reconciliation/exceptions/{id}/resolve,documented elsewhere,docs/superpowers/plans/2026-05-29-reconciliation-embedded-operator-ui.md; docs/superpowers/plans/2026-05-30-reconciliation-embedded-followups.md; docs/superpowers/plans/2026-05-30-reconciliation-schedule-crud.md,retain baseline until represented in openapi.full.yaml
POST /api/enterprise/bcmetadata/refresh,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/enterprise/golden-set/evaluate,documented elsewhere,docs/refactoring/ENTERPRISE-DASHBOARD-HARDENING-PLAN.md,retain baseline until represented in openapi.full.yaml
POST /api/enterprise/governance/reset,documented elsewhere,docs/refactoring/ENTERPRISE-DASHBOARD-HARDENING-PLAN.md,retain baseline until represented in openapi.full.yaml
POST /api/enterprise/translation/test,documented elsewhere,docs/SESSION-HANDOFF-2026-08-04.md; docs/refactoring/ENTERPRISE-DASHBOARD-HARDENING-PLAN.md,retain baseline until represented in openapi.full.yaml
POST /api/executive/reports/compare,documented elsewhere,docs/milestones/week-8-completion.md,retain baseline until represented in openapi.full.yaml
POST /api/executive/reports/generate,documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md; docs/milestones/week-8-completion.md,retain baseline until represented in openapi.full.yaml
POST /api/executive/reports/schedule,documented elsewhere,docs/milestones/week-8-completion.md,retain baseline until represented in openapi.full.yaml
POST /api/executive/reports/{reportid}/export,documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md; docs/milestones/week-8-completion.md,retain baseline until represented in openapi.full.yaml
POST /api/feature-flags/{key}/toggle,documented elsewhere,docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md; docs/review/route-tenant-coverage.md; docs/week4/WEEK4-MIGRATION-CHECKLIST.md,retain baseline until represented in openapi.full.yaml
POST /api/finance-central/approvals/{id}/approve,documented elsewhere,docs/plans/2026-05-13-operator-promotion-spec.md; docs/plans/2026-05-13-wave2-evidence-addendum-plan.md; docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/finance-central/approvals/{id}/reject,documented elsewhere,docs/plans/2026-05-13-operator-promotion-spec.md; docs/plans/2026-05-13-wave2-evidence-addendum-plan.md; docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/finance-central/documents/{id}/payment,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/fixtures/{systemid}/customers,documented elsewhere,docs/architecture/DATA-ARCHITECTURE-MOCK-VS-FIXTURE.md; docs/connectors/CONNECTOR_STATUS.md; docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md,retain baseline until represented in openapi.full.yaml
POST /api/full-pipeline-demo/execute,documented elsewhere,docs/superpowers/plans/2026-07-30-full-pipeline-demo-hardening.md; docs/superpowers/plans/2026-07-31-f6-subproject-b-pr3.md; docs/superpowers/specs/2026-07-30-full-pipeline-demo-hardening-design.md,retain baseline until represented in openapi.full.yaml
POST /api/governance/approvals/{id}/approve,documented elsewhere,docs/CHANGELOG.md; docs/plans/2026-05-01-a-grade-remediation-plan-merged.md; docs/plans/2026-05-18-hitl-approval-queue-bundle-spec.md,retain baseline until represented in openapi.full.yaml
POST /api/governance/approvals/{id}/reject,documented elsewhere,docs/CHANGELOG.md; docs/plans/2026-05-01-a-grade-remediation-plan-merged.md; docs/plans/2026-05-18-hitl-approval-queue-bundle-spec.md,retain baseline until represented in openapi.full.yaml
POST /api/governance/approvals/{id}/reset-claim,documented elsewhere,docs/CHANGELOG.md; docs/plans/2026-05-01-a-grade-remediation-plan-merged.md; docs/plans/2026-05-18-hitl-approval-queue-bundle-spec.md,retain baseline until represented in openapi.full.yaml
POST /api/help/chat,documented elsewhere,docs/developer/DEVELOPER_GUIDE.md; docs/features/help-chat-system.md; docs/features/README.md,retain baseline until represented in openapi.full.yaml
POST /api/help/reindex,documented elsewhere,docs/architecture/AI-SYSTEMS-COMPARISON.md; docs/features/help-chat-system.md; docs/features/README.md,retain baseline until represented in openapi.full.yaml
POST /api/hubspot/companies,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/hubspot/contacts,documented elsewhere,docs/superpowers/plans/2026-05-25-pr-13b-direct-write-ownership-enforcement.md; docs/superpowers/plans/2026-05-27-pr-13c-deferred-scope-followups.md; docs/superpowers/plans/2026-07-26-f4-erp-write-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/hubspot/deals,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/hubspot/search/{entitytype},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/hubspot/tickets,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/installer-central/assign/{jobid},documented elsewhere,docs/MASTER_IMPLEMENTATION_PLAN_2026.md,retain baseline until represented in openapi.full.yaml
POST /api/installer-central/match,documented elsewhere,docs/MASTER_IMPLEMENTATION_PLAN_2026.md,retain baseline until represented in openapi.full.yaml
POST /api/installer-central/netsuite/link-so,documented elsewhere,docs/MASTER_IMPLEMENTATION_PLAN_2026.md,retain baseline until represented in openapi.full.yaml
POST /api/integrations/api/integrations/{id}/mappings,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/integrations/api/integrations/{id}/mappings/preview,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/integrations/api/integrations/{id}/mappings/validate,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/integrations/api/integrations/{id}/run,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/integrations/api/integrations/{id}/serialized-assets/retry-deferred,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/integrations/api/integrations/{id}/stop,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/integrations/api/integrations/{id}/sync-record,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/integrations/api/integrations/{id}/test,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/integrations/api/integrations/{id}/webhooks,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/integrations/{id}/mappings,documented elsewhere,docs/CHANGELOG.md; docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
POST /api/integrations/{id}/mappings/preview,documented elsewhere,docs/CHANGELOG.md; docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
POST /api/integrations/{id}/mappings/validate,documented elsewhere,docs/CHANGELOG.md; docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
POST /api/integrations/{id}/webhooks,documented elsewhere,docs/CHANGELOG.md; docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
POST /api/inventory-central/movements,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/mappings/templates,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/developer/DEVELOPER_GUIDE.md; docs/features/README.md,retain baseline until represented in openapi.full.yaml
POST /api/mappings/templates/import,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/mdm/conflicts/{id}/resolve,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/features/MDM-FEATURE-GUIDE.md,retain baseline until represented in openapi.full.yaml
POST /api/mdm/feedback/record,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/features/MDM-FEATURE-GUIDE.md; docs/tutorials/MDM-TUTORIAL.md,retain baseline until represented in openapi.full.yaml
POST /api/mdm/match,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/features/MDM-FEATURE-GUIDE.md; docs/tutorials/MDM-TUTORIAL.md,retain baseline until represented in openapi.full.yaml
POST /api/mdm/merge,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/features/MDM-FEATURE-GUIDE.md; docs/tutorials/MDM-TUTORIAL.md,retain baseline until represented in openapi.full.yaml
POST /api/mdm/sync/{id},documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/features/MDM-FEATURE-GUIDE.md,retain baseline until represented in openapi.full.yaml
POST /api/mdm/sync/{requestid}/approve,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/features/MDM-FEATURE-GUIDE.md,retain baseline until represented in openapi.full.yaml
POST /api/nl-action-gate/actions/{id}/approve,documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md; docs/features/GRAND-UNIFIED-STRATEGY-GUIDE.md,retain baseline until represented in openapi.full.yaml
POST /api/nl-action-gate/actions/{id}/execute,documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md; docs/features/GRAND-UNIFIED-STRATEGY-GUIDE.md,retain baseline until represented in openapi.full.yaml
POST /api/nl-action-gate/actions/{id}/reject,documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md; docs/features/GRAND-UNIFIED-STRATEGY-GUIDE.md,retain baseline until represented in openapi.full.yaml
POST /api/nl-action-gate/parse,documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md; docs/features/GRAND-UNIFIED-STRATEGY-GUIDE.md,retain baseline until represented in openapi.full.yaml
POST /api/nl-action-gate/propose,documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md; docs/features/GRAND-UNIFIED-STRATEGY-GUIDE.md,retain baseline until represented in openapi.full.yaml
POST /api/payment-central/credit-memos,documented elsewhere,docs/tutorials/NL-ACTION-GATE-TUTORIAL.md; docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md,retain baseline until represented in openapi.full.yaml
POST /api/payment-central/disputes/{disputeid}/resolve,documented elsewhere,docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/payment-central/dunning/entries/{entryid}/ai-analyze,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
POST /api/payment-central/dunning/entries/{entryid}/escalate,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
POST /api/payment-central/dunning/entries/{entryid}/paid,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
POST /api/payment-central/dunning/entries/{entryid}/pause,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
POST /api/payment-central/dunning/entries/{entryid}/remind,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
POST /api/payment-central/dunning/entries/{entryid}/resume,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
POST /api/payment-central/dunning/process,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/payment-central/dunning/schedules,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/payment-central/gl/batches,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/payment-central/gl/batches/{batchid}/process,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/payment-central/gl/journal-entries/from-transaction,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/payment-central/gl/journal-entries/{entryid}/approve,documented elsewhere,docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md; docs/superpowers/plans/2026-07-31-f6-pr4-stage-1-identity-actor-migration.md,retain baseline until represented in openapi.full.yaml
POST /api/payment-central/gl/journal-entries/{entryid}/post,documented elsewhere,docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md; docs/superpowers/plans/2026-07-31-f6-pr4-stage-1-identity-actor-migration.md,retain baseline until represented in openapi.full.yaml
POST /api/payment-central/gl/journal-entries/{entryid}/void,documented elsewhere,docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md; docs/superpowers/plans/2026-07-31-f6-pr4-stage-1-identity-actor-migration.md,retain baseline until represented in openapi.full.yaml
POST /api/payment-central/invoices,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md; docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/payment-central/invoices/{invoiceid}/approve,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md; docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/payment-central/invoices/{invoiceid}/auto-match,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md; docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/payment-central/invoices/{invoiceid}/dispute,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md; docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/payment-central/invoices/{invoiceid}/match,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md; docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/payment-central/processors,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/payment-central/reconciliation/reports,documented elsewhere,docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/payment-central/transactions/bulk-sync,documented elsewhere,docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/payment-central/transactions/{transactionid}/sync,documented elsewhere,docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/payout-central/calculate,documented elsewhere,docs/MASTER_IMPLEMENTATION_PLAN_2026.md,retain baseline until represented in openapi.full.yaml
POST /api/payout-central/process,documented elsewhere,docs/MASTER_IMPLEMENTATION_PLAN_2026.md,retain baseline until represented in openapi.full.yaml
POST /api/persistence/migrate,documented elsewhere,docs/milestones/ai-security-enhancement-complete.md,retain baseline until represented in openapi.full.yaml
POST /api/persistence/templates,documented elsewhere,docs/milestones/ai-security-enhancement-complete.md,retain baseline until represented in openapi.full.yaml
POST /api/persistence/workflows,documented elsewhere,docs/milestones/ai-security-enhancement-complete.md,retain baseline until represented in openapi.full.yaml
POST /api/portal-central/announcements,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
